Model_Id,Date,RMSE,CRPS,opt_params,Model_type,random_state
MTB114938,2022_12_1,2.412602643443697,0.5678130394857668,{'n_estimators': 100},Random Forrest,631288
MTB115142,2022_12_1,2.47912054868437,0.4901494067952248,{'n_estimators': 10000},Random Forrest,522185
MTB115442,2022_12_1,2.505988383005312,0.6105505601469235,{'n_estimators': 1000},Random Forrest,321651
MTB115645,2022_12_1,2.3916864075755875,0.5808485619834711,{'n_estimators': 10000},Random Forrest,583694
