Model_Id,Date,ERR,Logloss,AUC,Model_type,random_state
MGPB194842,2022_11_28,0.0303030303030303,0.099636711335143,0.9611801242236024,Gaussian Process,41856
MGPB194843,2022_11_28,0.0303030303030303,0.1056867898178878,0.9832285115303984,Gaussian Process,4704
MGPB194843,2022_11_28,0.0727272727272727,0.1664970007340628,0.9791863765373698,Gaussian Process,227745
MGPB194844,2022_11_28,0.030303030303030304,0.13280655802729807,0.9378980891719745,Gaussian Process,368625
