Model_Id,Date,ERR,Logloss,AUC,opt_params,Model_type,random_state
MGPB175058,2022_11_28,0.1696969696969697,0.3857762533549196,0.9058004285277012,{'n_estimators': 100},randomForrest,790109
MGPB175235,2022_11_28,0.1393939393939394,0.330767506428136,0.9149610136452242,{'n_estimators': 100},randomForrest,498866
MGPB175418,2022_11_28,0.1515151515151515,0.6074201540394104,0.8876811594202899,{'n_estimators': 100},randomForrest,328818
MGPB17562,2022_11_28,0.2,0.459572026726866,0.8789723789723789,{'n_estimators': 10000},randomForrest,999853
