Model_Id,Date,ERR,Logloss,AUC,opt_params,Model_type,random_state
MGPB171212,2022_12_1,0.0242424242424242,0.076338041266055,0.997902307461792,{'n_estimators': 100},randomForrest,20958
MGPB171347,2022_12_1,0.0303030303030303,0.0709272083358244,0.998819362455726,{'n_estimators': 1000},randomForrest,731165
MGPB171524,2022_12_1,0.006060606060606,0.0667030589027776,0.9971910112359552,{'n_estimators': 10},randomForrest,704559
MGPB17171,2022_12_1,0.04242424242424243,0.08383400339871568,0.9967618486900206,{'n_estimators': 100},randomForrest,722379
