Model_Id,Date,ERR,Logloss,AUC,opt_params,Model_type,random_state
MGPB231920,2022_11_28,0.1515151515151515,0.3188400093533475,0.9409090909090908,{'n_estimators': 1000},randomForrest,524118
MGPB232042,2022_11_28,0.1757575757575757,0.407143874899846,0.8784036759700476,{'n_estimators': 1000},randomForrest,247519
MGPB232157,2022_11_28,0.1393939393939394,0.3579098381738025,0.9230158730158728,{'n_estimators': 1000},randomForrest,96504
MGPB232315,2022_11_28,0.18787878787878787,0.41216170825496684,0.8965848610289768,{'n_estimators': 100},randomForrest,620038
