Model_Id,Date,ERR,Logloss,AUC,opt_params,Model_type,random_state,sample_seed
MGPB10591,2022_11_29,0.0545454545454545,0.2236138839531007,0.8001419110690634,{'n_estimators': 1000},randomForrest,86561,94
MGPB11029,2022_11_29,0.0666666666666666,0.2095655204130112,0.9105723370429252,{'n_estimators': 100},randomForrest,660086,94
MGPB11151,2022_11_29,0.103030303030303,0.8002924323861068,0.8199523052464228,{'n_estimators': 10},randomForrest,658269,94
MGPB1134,2022_11_29,0.09696969696969697,0.23300507127402248,0.8981481481481481,{'n_estimators': 1000},randomForrest,215348,94
