Model_Id,Date,ERR,Logloss,AUC,Model_type,random_state,sample_seed
MGPB175849,2022_12_1,0.2848484848484848,0.5195620331632199,0.7910743801652892,Gaussian Process,404199,1
MGPB175850,2022_12_1,0.3393939393939394,0.5842822003510221,0.7301587301587302,Gaussian Process,624285,1
MGPB175851,2022_12_1,0.2121212121212121,0.4916860096890795,0.8458458458458458,Gaussian Process,497085,1
MGPB175852,2022_12_1,0.3393939393939394,0.5497422912786962,0.7655809583463826,Gaussian Process,155643,1
