Model_Id,Date,RMSE,CRPS,Model_type,random_state
MGPB135312,2022_12_2,2.051082012369428,2.7730234135377074,Gaussian Process,549248
MGPB135314,2022_12_2,1.5019776809949044,3.870842474321172,Gaussian Process,382503
MGPB135315,2022_12_2,1.981290233384809,3.574572613420897,Gaussian Process,312642
MGPB135316,2022_12_2,1.2598711386936305,3.4775027733176156,Gaussian Process,886413
