Model_Id,Date,RMSE,CRPS,Model_type,random_state,sample_seed
MGPB144951,2022_12_1,1293.2851164880906,1112.5543264598216,Gaussian Process,758626,43
MGPB144952,2022_12_1,1477.9353335675798,1103.0114099058496,Gaussian Process,365208,43
MGPB144952,2022_12_1,1037.1251125518334,1076.2026581269738,Gaussian Process,917277,43
MGPB144956,2022_12_1,1272.7378638711937,802.7717479639542,Gaussian Process,456611,43
