Model_Id,Date,RMSE,CRPS,opt_params,Model_type,random_state,sample_seed
MTB144054,2022_12_1,1615.0411744224143,1035.38849067034,{'n_estimators': 10000},Random Forrest,828988,43
MTB144328,2022_12_1,1407.0906264927232,1156.3349516253445,{'n_estimators': 1000},Random Forrest,26887,43
MTB144514,2022_12_1,993.037100628011,1113.9818717502296,{'n_estimators': 10000},Random Forrest,828215,43
MTB144757,2022_12_1,956.5848774583561,866.6517103030303,{'n_estimators': 1000},Random Forrest,730201,43
