Model_Id,Date,RMSE,CRPS,Model_type,random_state
MGPB115944,2022_12_1,2.420804625553206,0.5153649599565471,Gaussian Process,832634
MGPB115944,2022_12_1,2.169533920469123,0.6877708291291387,Gaussian Process,433074
MGPB115944,2022_12_1,2.4205805738203527,0.5936353954165065,Gaussian Process,857079
MGPB115945,2022_12_1,2.0105506644837,0.6345015108841033,Gaussian Process,860073
