Model_Id,Date,RMSE,CRPS,Model_type,random_state
MGPB142730,2022_12_2,3.3955280159006263,4.526864563790127,Gaussian Process,722601
MGPB142732,2022_12_2,2.0167332649189382,3.66948832569703,Gaussian Process,153016
MGPB142734,2022_12_2,2.612980837209691,4.00531779719867,Gaussian Process,130875
MGPB142735,2022_12_2,1.0757872560876334,3.835642270339222,Gaussian Process,686002
