Model_Id,Date,ERR,Logloss,AUC,opt_params,Model_type,random_state
MGPB225721,2022_11_28,0.0363636363636363,0.1230829384428169,0.871069182389937,"{'best_params': {'learning_rate': 0.1, 'min_data_in_leaf': 100, 'max_depth': 5}, 'best_iter': 32, 'best_score': 0.064420759259124}",Boosting,820223
MGPB225724,2022_11_28,0.0424242424242424,0.3169013649698496,0.821880650994575,"{'best_params': {'learning_rate': 0.01, 'min_data_in_leaf': 100, 'max_depth': 5}, 'best_iter': 342, 'best_score': 0.09783723012819015}",Boosting,29227
MGPB225728,2022_11_28,0.0545454545454545,0.0945826262049648,0.9905548996458088,"{'best_params': {'learning_rate': 0.1, 'min_data_in_leaf': 10, 'max_depth': 5}, 'best_iter': 39, 'best_score': 0.05593630627417379}",Boosting,722854
MGPB225731,2022_11_28,0.012121212121212121,0.04250128469232103,0.9958071278825996,"{'best_params': {'learning_rate': 0.1, 'min_data_in_leaf': 1, 'max_depth': 1}, 'best_iter': 122, 'best_score': 0.058110259092540195}",Boosting,840616
