Model_Id,Date,ERR,Logloss,AUC,opt_params,Model_type,random_state,sample_seed
MGPB9731,2022_11_29,0.1333333333333333,0.5146519487547336,0.9334659593280284,{'n_estimators': 100},randomForrest,151010,26
MGPB9918,2022_11_29,0.0909090909090909,0.5018487142938097,0.9318449749484232,{'n_estimators': 100},randomForrest,760557,26
MGPB9112,2022_11_29,0.0909090909090909,0.2238198171552372,0.9703801945181256,{'n_estimators': 10000},randomForrest,644042,26
MGPB91332,2022_11_29,0.10909090909090909,0.2838661756523942,0.9520135214579659,{'n_estimators': 1000},randomForrest,530191,26
