Model_Id,Date,ERR,Logloss,AUC,opt_params,Model_type,random_state
MGPB151334,2022_11_4,0.0948275862068965,3.2752632614755908,0.5356435643564357,{'n_estimators': 100},randomForrest,235380
MGPB151436,2022_11_4,0.0517241379310344,1.7865091134634032,0.4802091112770724,{'n_estimators': 1000},randomForrest,610073
MGPB151541,2022_11_4,0.0517241379310344,1.7865022203821084,0.5347313237221494,{'n_estimators': 100},randomForrest,118276
MGPB151645,2022_11_4,0.07758620689655173,2.6797877959796357,0.49125,{'n_estimators': 100},randomForrest,608053
